ingredient,tier,n_regulators_in_window,regulators,most_recent_approval,example_brands,applicants
tetracaine,B: confirm date(s),1,FDA(2024-12-20); HSA(no-date),2024-12-20,MINIMS TETRACAINE HYDROCHLORIDE EYE DROPS 1% w/v; TETRACAINE HYDROCHLORIDE,LABORATOIRE CHAUVIN SA; SOMERSET THERAPS LLC
entecavir,B: confirm date(s),1,FDA(2024-12-23); HSA(no-date),2024-12-23,ENTECAVIR; PMS-ENTECAVIR FILM COATED TABLET 0.5mg,CONBA USA; Pharmascience Inc
cyclophosphamide,B: confirm date(s),1,FDA(2024-12-26); HSA(no-date),2024-12-26,CYCLOPHOSPHAMIDE; CYCRAM FOR INJECTION 1 g/vial,HAINAN POLY; KOREA UNITED PHARMACEUTICAL INC
clofarabine,B: confirm date(s),1,FDA(2025-01-03); HSA(no-date),2025-01-03,CLOFARABINE; Evoltra Concentrate Solution for Infusion 1mg/ml,SCINOPHARM TAIWAN; Teva-Pharmachemie B.V. (PCH)
theophylline,B: confirm date(s),1,FDA(2025-01-13); HSA(no-date),2025-01-13,APO-THEO LA TABLET 100 mg; THEOPHYLLINE,AJANTA PHARMA LTD; APOTEX INC
telmisartan,B: confirm date(s),1,FDA(2025-01-15); HSA(no-date),2025-01-15,TELFOCUS 80 TABLETS 80MG; TELMISARTAN,AUROBINDO PHARMA LIMITED - UNIT VII; MACLEODS PHARMS LTD
treosulfan,B: confirm date(s),1,FDA(2025-01-21); HSA(no-date),2025-01-21,GRAFAPEX; TRECONDI POWDER FOR SOLUTION FOR INFUSION 5 G PER VIAL,MEDEXUS; Oncotec Pharma Produktion GmbH
nimodipine,B: confirm date(s),1,FDA(2025-01-22); HSA(no-date),2025-01-22,NIMODIPINE; NIMOTOP FOR INFUSION 0.02%,ALKEM LABS LTD; Bayer AG&&Solupharm Pharmazeutische Erzeugnisse GmbH
hydrochlorothiazide,B: confirm date(s),1,FDA(2025-01-28); HSA(no-date),2025-01-28,APO-HYDROCHLOROTHIAZIDE TABLET 50 mg; INZIRQO,APOTEX INC; NOVITIUM PHARMA
tramadol,B: confirm date(s),1,FDA(2025-01-31); HSA(no-date),2025-01-31,TRACIDOL INJECTION 100mg/2ml; TRAMADOL HYDROCHLORIDE,MACLEODS PHARMS LTD; Y.S.P. Industries (M) Sdn. Bhd.
benztropine,B: confirm date(s),1,FDA(2025-02-11); HSA(no-date),2025-02-11,APO-BENZTROPINE TABLET 2 mg; BENZTROPINE MESYLATE,APOTEX INC; QUAGEN
formoterol,B: confirm date(s),1,FDA(2025-02-11); HSA(no-date),2025-02-11,Atimos Pressurised Inhalation Solution 12mcg/ inhalation; FORMOTEROL FUMARATE,Chiesi Farmaceutici S.p.A.; DEVA HOLDING AS
risdiplam,B: confirm date(s),1,FDA(2025-02-11); HSA(no-date),2025-02-11,EVRYSDI; EVRYSDI POWDER FOR ORAL SOLUTION 0.75 MG/ML,F. Hoffmann-La Roche Ltd&&F. Hoffmann-La Roche Ltd.; GENENTECH INC
tacrolimus,B: confirm date(s),1,FDA(2025-02-12); HSA(no-date),2025-02-12,TACROCIN 5- TACROLIMUS CAPSULE USP 5 MG; TACROLIMUS,Intas Pharmaceuticals Limited&&Concord Biotech Limited (DP Intermediate); NEXUS
filgrastim,B: confirm date(s),1,EMA(2025-02-12); HSA(no-date),2025-02-12,NEUPOGEN PRE-FILLED SYRINGE 30 mu/0.5 ml; Zefylti,Amgen Manufacturing Limited LLC (AML or AML LLC); CuraTeQ Biologics s.r.o
nemolizumab,B: confirm date(s),1,EMA(2025-02-12); HSA(no-date),2025-02-12,NEMLUVIO POWDER AND SOLVENT FOR SOLUTION FOR INJECTION IN PRE-FILLED PEN 30MG; Nemluvio,Galderma International; Vetter Pharma-Fertigung GmbH & Co. KG&&Vetter Pharma-Fertigung GmbH & Co. KG
sunitinib,B: confirm date(s),1,FDA(2025-02-14); HSA(no-date),2025-02-14,INSUNITINIB CAPSULE 37.5MG; SUNITINIB MALATE,MSN; REMEDICA LTD&&PHARMACARE PREMIUM LTD
brexpiprazole,B: confirm date(s),1,FDA(2025-02-24); HSA(no-date),2025-02-24,BREXPIPRAZOLE; REXULTI FILM-COATED TABLETS 2MG,"APOTEX; OTSUKA PHARMACEUTICAL CO., LTD. (TOKUSHIMA FACTORY)&&ELAIAPHARM (PRIMARY AND SECONDARY PACKAGER)&&OTSUKA PHARMACEUTICAL CO., LTD. (SECOND TOKUSHIMA FACTORY) (Finished Product Manufacturer)"
mercaptopurine,B: confirm date(s),1,FDA(2025-02-26); HSA(no-date),2025-02-26,MERCAPTOPURINE; PURINETONE TABLETS 50 mg,HIKMA; KOREA UNITED PHARMACEUTICAL INC
loratadine,B: confirm date(s),1,FDA(2025-02-28); HSA(no-date),2025-02-28,HALODIN TABLETS 10 mg; LORATADINE,CATALENT PHARMA; T O CHEMICALS (1979) LTD
fexofenadine,B: confirm date(s),1,FDA(2025-02-28); HSA(no-date),2025-02-28,FEXOFEN FILM-COATED TABLET 180MG; FEXOFENADINE HYDROCHLORIDE,CONTRACT PHARMACAL; Ind-Swift Limited
solifenacin,B: confirm date(s),1,FDA(2025-03-04); HSA(no-date),2025-03-04,SOLIFENACIN SUCCINATE; SYNERRV SOLIFENACIN SUCCINATE FILM-COATED TABLETS 10MG,TORRENT; Umedica Laboratories Pvt. Ltd.
lactulose,B: confirm date(s),1,FDA(2025-03-14); HSA(no-date),2025-03-14,DUPHALAC SYRUP; LACTULOSE,ABBOTT BIOLOGICALS B V; PAI HOLDINGS
acetylcysteine,B: confirm date(s),1,FDA(2025-03-14); HSA(no-date),2025-03-14,ACETYLCYSTEINE; SPATAM CAPSULE 200 mg,CONBA USA; MYUNG IN PHARM CO LTD
apalutamide,B: confirm date(s),1,FDA(2025-03-17); HSA(no-date),2025-03-17,APALUTAMIDE; ERLEADA FILM-COATED TABLET 60MG,"Janssen Pharmaceutica NV (intermediate)&&Janssen Ortho LLC&&Catalent Pharma Solutions, LLC; ZYDUS LIFESCIENCES"
perphenazine,B: confirm date(s),1,FDA(2025-03-18); HSA(no-date),2025-03-18,APO-PERPHENAZINE TABLET 8 mg; PERPHENAZINE,APOTEX INC; JUBILANT GENERICS
ropivacaine,B: confirm date(s),1,FDA(2025-03-21); HSA(no-date),2025-03-21,NAROPIN INFUSION 0.2%; ROPIVACAINE HYDROCHLORIDE,ANTHEA PHARMA; ASTRAZENECA PTY LTD
metformin,B: confirm date(s),1,FDA(2025-04-14); HSA(no-date),2025-04-14,GLYCOMET TABLET 500 mg; METFORMIN HYDROCHLORIDE,BIONPHARMA; USV PRIVATE LIMITED
allopurinol,B: confirm date(s),1,FDA(2025-04-14); HSA(no-date),2025-04-14,ALLOPURINOL; APO-ALLOPURINOL TABLET 100 mg,APOTEX INC; AUROBINDO PHARMA LTD
esomeprazole,B: confirm date(s),1,FDA(2025-04-15); HSA(no-date),2025-04-15,ESOMEPRAZOLE MAGNESIUM; NEXIUM POWDER FOR SOLUTION FOR INJECTION AND INFUSION 40 mg,"ASTRAZENECA AB&&AstraZeneca Pharmaceutical Co., Ltd.; AUROBINDO PHARMA LTD"
ranolazine,B: confirm date(s),1,FDA(2025-04-15); HSA(no-date),2025-04-15,RANEXA PROLONGED-RELEASE TABLET 375 MG; RANOLAZINE,JUBILANT GENERICS; MENARINI - VON HEYDEN GmbH
apixaban,B: confirm date(s),1,FDA(2025-04-17); HSA(no-date),2025-04-17,ELIQUIS; Eliquis Tablet 2.5mg,BRISTOL; Bristol-Myers Squibb Manufacturing Company Unlimited Company&&Pfizer Ireland Pharmaceuticals
posaconazole,B: confirm date(s),1,FDA(2025-04-23); HSA(no-date),2025-04-23,POSACONAZOLE; SINOTRX POSACONAZOLE DELAYED RELEASE TABLET 100MG,HAIMEN PHARMA INC; QILU PHARM HAINAN
latanoprostene bunod,B: confirm date(s),1,FDA(2025-04-29); HSA(no-date),2025-04-29,LATANOPROSTENE BUNOD; VYZULTA (LATANOPROSTENE BUNOD OPHTHALMIC SOLUTION) 0.024%,"Bausch & Lomb, Incorporated.; GLAND"
tamsulosin,B: confirm date(s),1,FDA(2025-05-01); HSA(no-date),2025-05-01,Harnal OCAS Prolonged Release Film-coated Tablet 400mcg; TAMSULOSIN HYDROCHLORIDE,Delpharm Meppel B.V.; RISING
midazolam,B: confirm date(s),1,FDA(2025-05-01); HSA(no-date),2025-05-01,DORMICUM INJECTION 15 mg/3 ml; MIDAZOLAM IN 0.8% SODIUM CHLORIDE,B BRAUN MEDICAL; CENEXI
acyclovir,B: confirm date(s),1,FDA(2025-05-02); HSA(no-date),2025-05-02,ACYCLOVIR; ACYCLOVIR CREAM 5%,CIPLA; PT INDOFARMA
human normal immunoglobulin,B: confirm date(s),1,EMA(2025-05-02); HSA(no-date),2025-05-02,Deqsiga; FLEBOGAMMA DIF SOLUTION FOR INFUSION 5%,"INSTITUTO GRIFOLS, S.A.; Takeda Manufacturing Austria AG"
terazosin,B: confirm date(s),1,FDA(2025-05-12); HSA(no-date),2025-05-12,APO-TERAZOSIN TABLET 2 mg; TERAZOSIN HYDROCHLORIDE,AJANTA PHARMA LTD; APOTEX INC (SIGNET DRIVE)
docetaxel,B: confirm date(s),1,FDA(2025-05-13); HSA(no-date),2025-05-13,DOCETAXEL; TEXTAS 80 CONCENTRATE FOR SOLUTION FOR INFUSION 80 MG/ 4 ML VIAL,GUANGDONG SUNHO; INTAS PHARMACEUTICALS LIMITED
mupirocin,B: confirm date(s),1,FDA(2025-05-13); HSA(no-date),2025-05-13,MUPIROCIN; SUPIROCIN OINTMENT 2% w/w,ENCUBE; GLENMARK PHARMACEUTICALS LTD
mometasone,B: confirm date(s),1,FDA(2025-05-15); HSA(no-date),2025-05-15,MOMETASONE FUROATE; VIZOMET CREAM 0.1% W/W,NASPRESS; XEPA-SOUL PATTINSON (MALAYSIA) SDN BHD
gefitinib,B: confirm date(s),1,FDA(2025-05-16); HSA(no-date),2025-05-16,GEFITINIB; HOVID GEFITINIB TABLETS 250 MG,CIPLA; Qilu Pharmaceutical (Hainan) Co. Ltd.
methylnaltrexone,B: confirm date(s),1,FDA(2025-05-28); HSA(no-date),2025-05-28,METHYLNALTREXONE BROMIDE; Relistor Solution For Injection 12mg/0.6mL,"DSM Pharmaceuticals, Inc; MYLAN LABS LTD"
meloxicam,B: confirm date(s),1,FDA(2025-06-05); HSA(no-date),2025-06-05,Arrox Tablet 7.5mg; XIFYRM,AZURITY; Xepa-Soul Pattinson (Malaysia) Sdn Bhd
polystyrene sulfonate,B: confirm date(s),1,FDA(2025-06-10); HSA(no-date),2025-06-10,JAMP SODIUM POLYSTYRENE SULFONATE POWDER FOR SUSPENSION 1G/G; SODIUM POLYSTYRENE SULFONATE,LYNE; Sava Healthcare Ltd
zanubrutinib,B: confirm date(s),1,FDA(2025-06-10); HSA(no-date),2025-06-10,BRUKINSA; BRUKINSA™ CAPSULE 80MG,"BEONE MEDICINES USA; Catalent CTS (Kansas City), LLC (Primary packager)"
iodide i,B: confirm date(s),1,FDA(2025-06-12); HSA(no-date),2025-06-12,ANSTO - Sodium Iodide [131I] Therapy Capsules (50 to 6000 MBq); SODIUM IODIDE I 131,ANSTO; CARDINAL HLTH 414
lisdexamfetamine dimesylate,B: confirm date(s),1,FDA(2025-06-16); HSA(no-date),2025-06-16,ARYNTA; VYVANSE CAPSULES 30 mg,AZURITY; Patheon Pharmaceuticals Inc. (Bulk Production)&&Takeda GmbH
acetazolamide,B: confirm date(s),1,FDA(2025-06-17); HSA(no-date),2025-06-17,AA PHARMA ACETAZOLAMIDE TABLET 250 mg; ACETAZOLAMIDE SODIUM,APOTEX INC; GLAND
prednisolone,B: confirm date(s),1,FDA(2025-06-23); HSA(no-date),2025-06-23,PREDNISOLONE; PREDNISOLONE TABLET 5 mg,ATLANTIC LABORATORIES CORPN LTD; TP ANDA HOLDINGS
amitriptyline,B: confirm date(s),1,FDA(2025-06-23); HSA(no-date),2025-06-23,AMITRIPTYLINE HYDROCHLORIDE; TRIPTA TABLET 10 mg,ATLANTIC LABORATORIES CORPN LTD; UNIQUE PHARM
minoxidil,B: confirm date(s),1,FDA(2025-06-30); HSA(no-date),2025-06-30,MINOXIDIL EXTRA STRENGTH (FOR MEN); MINOXIDIL LOTION 3% w/v,SUNWARD PHARMACEUTICAL PRIVATE LIMITED; TARO
loteprednol etabonate,B: confirm date(s),1,FDA(2025-06-30); HSA(no-date),2025-06-30,LOTEMAX STERILE OPHTHALMIC SUSPENSION 0.5%; LOTEPREDNOL ETABONATE,BAUSCH & LOMB INC; LUPIN
amphotericin b,B: confirm date(s),1,FDA(2025-06-30); HSA(no-date),2025-06-30,AMBISOME FOR INJECTION 50 mg/vial; AMPHOTERICIN B,"Gilead Sciences, Inc.&&JUBILANT HOLLISTERSTIER LLC&&Curia New Mexico, LLC&&Gilead Sciences, Inc.&&Nippon Fine Chemical Co., Ltd.; MYLAN LABS LTD"
trastuzumab,B: confirm date(s),1,EMA(2025-06-30); HSA(no-date),2025-06-30,Dazublys; HERZUMA® 150MG POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION,"CELLTRION, Inc., Plant II (CLT2); CuraTeQ Biologics (Malta) Limited"
nitrofurantoin,B: confirm date(s),1,FDA(2025-07-02); HSA(no-date),2025-07-02,AA PHARMA NITROFURANTOIN TABLET 100 mg; NITROFURANTOIN,ANNORA PHARMA; APOTEX INC
indomethacin,B: confirm date(s),1,FDA(2025-07-03); HSA(no-date),2025-07-03,HD-METHACIN CAPSULE 25 mg; INDOMETHACIN,ANNORA PHARMA; HOVID BHD&&HOVID Bhd.
bendamustine,B: confirm date(s),1,FDA(2025-07-03); HSA(no-date),2025-07-03,BEMUNAT POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 25 MG/VIAL USP; BENDAMUSTINE HYDROCHLORIDE,AVYXA HOLDINGS; Natco Pharma Ltd. - Pharma Division
ketoconazole,B: confirm date(s),1,FDA(2025-07-03); HSA(no-date),2025-07-03,KETOCONAZOLE; NITOZOL CREAM 2%,KOREA PHARMA CO LTD; NOVITIUM PHARMA
hydralazine,B: confirm date(s),1,FDA(2025-07-17); HSA(no-date),2025-07-17,APO-HYDRALAZINE TABLET 25 mg; HYDRALAZINE HYDROCHLORIDE,APOTEX INC; BAXTER HLTHCARE CORP
ramipril,B: confirm date(s),1,FDA(2025-07-23); HSA(no-date),2025-07-23,TRITACE 5 TABLET 5 mg; VOSTALLY,ROSEMONT PHARMS; SANOFI S.r.l.
lorazepam,B: confirm date(s),1,FDA(2025-07-24); HSA(no-date),2025-07-24,APO-LORAZEPAM TABLET 1 mg; LORAZEPAM,APOTEX INC; GRAVITI PHARMS
carbamazepine,B: confirm date(s),1,FDA(2025-07-25); HSA(no-date),2025-07-25,CARBAMAZEPINE; STORILAT 200 TABLET 200 mg,ALEMBIC; REMEDICA LTD
celecoxib,B: confirm date(s),1,FDA(2025-07-29); HSA(no-date),2025-07-29,SYNERRV CELECOXIB HARD CAPSULES 200MG; VYSCOXA,CARWIN PHARM ASSOC; UMEDICA LABORATORIES PRIVATE LIMITED
omeprazole,B: confirm date(s),1,FDA(2025-08-07); HSA(no-date),2025-08-07,OMEPRAZOLE MAGNESIUM; OMICAP CAPSULE 20 mg,MARKSANS PHARMA; MICRO LABS LTD
ascorbic acid,B: confirm date(s),1,FDA(2025-08-07); HSA(no-date),2025-08-07,ASCORBIC ACID; ASCORBIC ACID INJECTION USP 500 mg/5 ml,FRESENIUS KABI USA; Hospira Australia Pty Ltd
baricitinib,B: confirm date(s),1,FDA(2025-08-08); HSA(no-date),2025-08-08,OLUMIANT; OLUMIANT FILM-COATED TABLET 4MG,"Lilly del Caribe, Inc.&&Lilly, S.A. (Primary and Secondary Packager); MSN"
pegfilgrastim,B: confirm date(s),1,EMA(2025-08-18); HSA(no-date),2025-08-18,Pelgraz Solution for Injection in pre-filled syringe 6mg/0.6mL; Vivlipeg,Biosimilar Collaborations Ireland Limited; Intas Pharmaceuticals Limited Biopharma Division
naloxone,B: confirm date(s),1,FDA(2025-08-21); HSA(no-date),2025-08-21,NALOXONE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE INJECTION USP 0.4 mg/ml,PANPHARMA GmbH; STERINOVA INC
nintedanib,B: confirm date(s),1,EMA(2025-08-22); FDA(no-date),2025-08-22,NINTEDANIB; Nintedanib Viatris,EUGIA PHARMA SPECLTS; Viatris Limited
metoprolol,B: confirm date(s),1,FDA(2025-08-28); HSA(no-date),2025-08-28,APO-METOPROLOL TABLET 100 mg; LOPRESSOR,APOTEX INC; XTM CONSULTING
memantine,B: confirm date(s),1,FDA(2025-08-28); HSA(no-date),2025-08-28,MEMANTINE HYDROCHLORIDE; MEMANTINHYDROCHLORID STADA FILM-COATED TABLET 10MG,Abdi Ibrahim Ilaç San. ve Tic. A.Ş.; MACLEODS PHARMS LTD
risperidone,B: confirm date(s),1,FDA(2025-09-02); HSA(no-date),2025-09-02,RISPERDAL TABLET 2 mg; RISPERIDONE,AMNEAL; JANSSEN CILAG SPA
milrinone,B: confirm date(s),1,FDA(2025-09-02); HSA(no-date),2025-09-02,MILRINONE LACTATE IN DEXTROSE 5%; MILRINONE-BAXTER CONCENTRATED SOLUTION FOR INJECTION 10MG/10ML,Baxter Pharmaceuticals India Private Limited; CAPLIN
deferasirox,B: confirm date(s),1,FDA(2025-09-08); HSA(no-date),2025-09-08,DEFERASIROX; JADENU FILM COATED TABLET 90MG,AUROBINDO PHARMA; Novartis Pharma Stein AG&&Novartis Pharma Produktions GmbH (primary and secondary packager)&&SANDOZ S.R.L
prochlorperazine,B: confirm date(s),1,FDA(2025-09-08); HSA(no-date),2025-09-08,PROCHLORPERAZINE MALEATE; STEMETIL INJECTION 12.5 mg/ml,"AUROBINDO PHARMA LTD; AVENTIS PHARMA, DAGENHAM&&Sanofi S.r.L."
glucagon,B: confirm date(s),1,FDA(2025-09-15); HSA(no-date),2025-09-15,GLUCAGEN FOR INJECTION 1 mg/ml; GLUCAGON,CIPLA; Novo Nordisk A/S&&Novo Nordisk A/ S
losartan,B: confirm date(s),1,FDA(2025-09-19); HSA(no-date),2025-09-19,Angizaar-50mg Tablet; LOSARTAN POTASSIUM,GRAVITI PHARMS; Micro Labs Ltd
bimatoprost,B: confirm date(s),1,FDA(2025-09-22); HSA(no-date),2025-09-22,BIMATOPROST; LUMIGAN PF (BIMATOPROST OPHTHALMIC SOLUTION) 0.03%,AMNEAL; Allergan Pharmaceuticals Ireland
rivastigmine,B: confirm date(s),1,FDA(2025-09-23); HSA(no-date),2025-09-23,Exelon Patch 10 (9.5mg/24hr); RIVASTIGMINE,LTS Lohmann Therapie-Systeme AG; YICHANG HUMANWELL
erythromycin,B: confirm date(s),1,FDA(2025-09-23); HSA(no-date),2025-09-23,ERYSON TABLETS 250 mg; ERYTHROMYCIN,ABON PHARMS LLC; BEACONS PHARMACEUTICALS PTE. LTD.
donanemab,B: confirm date(s),1,EMA(2025-09-24); HSA(no-date),2025-09-24,Kisunla; Lormalzi Concentrate for Solution for Infusion 350mg/20mL,Eli Lilly Nederland B.V.; Lilly France
clotrimazole,B: confirm date(s),1,FDA(2025-09-26); HSA(no-date),2025-09-26,CANDID-V3 VAGINAL TABLET 200 mg; CLOTIC,CARWIN PHARM ASSOC; GLENMARK PHARMACEUTICALS LTD
levonorgestrel,B: confirm date(s),1,FDA(2025-09-30); HSA(no-date),2025-09-30,LEVONORGESTREL; POSTINOR 2 TABLET 0.75 mg,ANNORA PHARMA; CHEMICAL WORKS OF GEDEON RICHTER PLC
mifepristone,B: confirm date(s),1,FDA(2025-09-30); HSA(no-date),2025-09-30,MIFEGYNE TABLETS 200MG; MIFEPRISTONE,EVITA SOLUTIONS; Laboratoires MACORS
prednisone,B: confirm date(s),1,FDA(2025-10-01); HSA(no-date),2025-10-01,APO-PREDNISONE TABLET 5 mg; PREDNISONE,APOTEX INC; DR REDDYS
pilocarpine,B: confirm date(s),1,FDA(2025-10-02); HSA(no-date),2025-10-02,PILOCARPINE HYDROCHLORIDE; SALAGEN TABLET 5 mg,FDC LTD; PATHEON INC
labetalol,B: confirm date(s),1,FDA(2025-10-02); HSA(no-date),2025-10-02,LABETALOL HYDROCHLORIDE; TRANTALOL TABLET 100 mg,AMNEAL; DUOPHARMA (M) SDN BHD
etravirine,B: confirm date(s),1,FDA(2025-10-02); HSA(no-date),2025-10-02,ETRAVIRINE; INTELENCE TABLET 200 MG,BIONPHARMA; Janssen Pharmaceutica NV (Spray Dried Powder)&&Janssen Cilag S.p.A
naproxen,B: confirm date(s),1,FDA(2025-10-03); HSA(no-date),2025-10-03,NAPROXEN; SELADIN TABLET 250 mg,AUROBINDO PHARMA; YUNG SHIN PHARMACEUTICAL IND CO LTD
isotretinoin,B: confirm date(s),1,FDA(2025-10-07); HSA(no-date),2025-10-07,ACNOTIN 10; ISOTRETINOIN,AMNEAL PHARMS NY; Mega Lifesciences Public Company Limited
triamcinolone acetonide,B: confirm date(s),1,FDA(2025-10-17); HSA(no-date),2025-10-17,KENO ORAL PASTE 1 mg/g; TRIAMCINOLONE ACETONIDE,ALEMBIC; T O CHEMICALS (1979) LTD
clascoterone,B: confirm date(s),1,EMA(2025-10-17); HSA(no-date),2025-10-17,Winlevi; Winlevi Cream 1% w/w,Cassiopea S.p.A.; Cosmo S.p.A.
proparacaine,B: confirm date(s),1,FDA(2025-10-20); HSA(no-date),2025-10-20,ALCAINE STERILE OPHTHALMIC SOLUTION 0.5%; PROPARACAINE HYDROCHLORIDE,ALCON-COUVREUR NV; MICRO LABS
sevelamer carbonate,B: confirm date(s),1,FDA(2025-10-27); HSA(no-date),2025-10-27,SEVELA FILM COATED TABLET 800MG; SEVELAMER CARBONATE,"Chen Ho Pharmaceutical Co., Ltd. Sinying Plant; NAVINTA LLC"
irbesartan,B: confirm date(s),1,FDA(2025-11-04); HSA(no-date),2025-11-04,IRBESARTAN; IRBIS 300 IRBESARTAN FILM COATED TABLETS 300MG,Hetero Labs Limited; MSN
sulfasalazine,B: confirm date(s),1,FDA(2025-11-04); HSA(no-date),2025-11-04,PMS-SULFASALAZINE E.C.TABLET 500 mg; SULFASALAZINE,Dragenopharm Aptheker Pushl Gmbh & Co; RISING
maraviroc,B: confirm date(s),1,FDA(2025-11-04); HSA(no-date),2025-11-04,Celsentri Film-Coated Tablet 150mg; MARAVIROC,Pfizer Manufacturing Deutschland GmbH; RHODES PHARMS
isoflurane,B: confirm date(s),1,FDA(2025-11-04); HSA(no-date),2025-11-04,AERRANE INHALATION ANAESTHETIC; ISOFLURANE,Baxter Healthcare Corporation; SHANDONG
diclofenac,B: confirm date(s),1,FDA(2025-11-05); HSA(no-date),2025-11-05,DICLOFENAC SODIUM; VOREN GEL 10 mg/g,UMEDICA; Y S P INDUSTRIES (M) SDN BHD
dexlansoprazole,B: confirm date(s),1,FDA(2025-11-12); HSA(no-date),2025-11-12,DEXILANT DELAYED RELEASE CAPSULE 60mg; DEXLANSOPRAZOLE,"ALEMBIC; Takeda Ireland Limited (Manufacture of Granules-LS)&&AUPA BIOPHARM CO., LTD (primary and secondary packager)&&Takeda GmbH"
diazepam,B: confirm date(s),1,FDA(2025-11-14); HSA(no-date),2025-11-14,DIAPINE TABLET 2 mg; DIAZEPAM,ATLANTIC LABORATORIES CORPN LTD; NAVINTA LLC
ustekinumab,B: confirm date(s),1,EMA(2025-11-17); HSA(no-date),2025-11-17,Stelara Solution for Injection 45mg/0.5 ml; Usgena,Cilag AG; Stada Arzneimittel AG
clobetasol,B: confirm date(s),1,FDA(2025-11-20); HSA(no-date),2025-11-20,CLOBETASOL PROPIONATE; UNIVATE CREAM 0.05% w/w,XEPA-SOUL PATTINSON (MALAYSIA) SDN BHD; XIROMED
verapamil,B: confirm date(s),1,FDA(2025-11-24); HSA(no-date),2025-11-24,ISOPTIN SR TABLET 240 mg; VERAPAMIL HYDROCHLORIDE,Famar Anonymous Industrial Single Member Company of Pharmaceuticals and Cosmetics; ZYDUS LIFESCIENCES
propofol,B: confirm date(s),1,FDA(2025-12-02); HSA(no-date),2025-12-02,PROPOFOL; Propofol-Lipuro 2% (20mg/ml),B. Braun Melsungen AG; EMERGE BIOSCIENCE
paracetamol,B: confirm date(s),1,FDA(2025-12-05); HSA(no-date),2025-12-05,ACET 325 SUPPOSITORIES 325 mg; ACETAMINOPHEN,"CAPLIN; Pendopharm, Division of /de Pharmascience Inc."
linezolid,B: confirm date(s),1,FDA(2025-12-08); HSA(no-date),2025-12-08,HETERO-LINEZOLID FILM COATED TABLETS 600 MG; LINEZOLID,CAPLIN; Hetero Labs Limited
deferiprone,B: confirm date(s),1,FDA(2025-12-11); HSA(no-date),2025-12-11,DEFERIPRONE; FERRIPROX 100MG/ML ORAL SOLUTION,Apotex Inc.- Richmond Hill Site; SENORES PHARMS
beclomethasone,B: confirm date(s),1,FDA(2025-12-16); HSA(no-date),2025-12-16,BECLOMETHASONE DIPROPIONATE; CLENIL 50 mcg PRESSURISED INHALATION SOLUTION,AMNEAL IRELAND LTD; CHIESI FARMACEUTICI SPA
travoprost,B: confirm date(s),1,FDA(2025-12-17); HSA(no-date),2025-12-17,TRAVON EYE DROPS SOLUTION 0.004%; TRAVOPROST,ALEMBIC; Indoco Remedies Limited
epoprostenol,B: confirm date(s),1,FDA(2025-12-29); HSA(no-date),2025-12-29,EPOPROSTENOL SODIUM; FLOLAN FOR INFUSION 0.5 mg/vial,"GLAND; GLAXOSMITHKLINE MANUFACTURING S.P.A. (Powder)&&GLAXO OPERATIONS UK LTD.(TRADING AS GLAXO WELLCOME OPERATIONS)(Diluent-Manufacture,Primary Packager)"
loperamide,B: confirm date(s),1,FDA(2025-12-29); HSA(no-date),2025-12-29,LOPERAMIDE HYDROCHLORIDE; LOPERAX CAPSULE 2 mg,AUROBINDO PHARMA; XEPA-SOUL PATTINSON (MALAYSIA) SDN BHD
pseudoephedrine,B: confirm date(s),1,FDA(2025-12-29); HSA(no-date),2025-12-29,PSEUDOEPHEDRINE HYDROCHLORIDE; PSEUDORINE TABLETS 60 mg,AUROBINDO PHARMA LTD; SUNWARD PHARMACEUTICAL PRIVATE LIMITED
phenytoin,B: confirm date(s),1,FDA(2026-01-02); HSA(no-date),2026-01-02,DILANTIN CAPSULE 100 mg; EXTENDED PHENYTOIN SODIUM,MANKIND PHARMA; Viatris Pharmaceuticals LLC
sucralfate,B: confirm date(s),1,FDA(2026-01-05); HSA(no-date),2026-01-05,APO-SUCRALFATE TABLET 1 g; SUCRALFATE,APOTEX INC; GLENMARK PHARMS LTD
bortezomib,B: confirm date(s),1,FDA(2026-01-06); HSA(no-date),2026-01-06,BORTEBIN POWDER FOR SOLUTION FOR INJECTION 3.5MG/VIAL; BORTEZOMIB,EUGIA PHARMA SPECIALITIES LIMITED; GLAND
enoxaparin,B: confirm date(s),1,FDA(2026-01-07); HSA(no-date),2026-01-07,ENOXAPARIN SODIUM (PRESERVATIVE FREE); INHIXA Solution for Injection 6000 Anti-Xa IU (60MG)/0.6ML,"HEBEI CHANGSHAN; Shenzhen Techdow Pharmaceutical Co., Ltd."
fluconazole,B: confirm date(s),1,FDA(2026-01-08); HSA(no-date),2026-01-08,Apo-Fluconazole 150mg Capsule; FLUCONAZOLE,Apotex Inc; FDC LTD
denosumab,B: confirm date(s),1,EMA(2026-01-08); HSA(no-date),2026-01-08,Osqay; Prolia Solution for Injection 60 mg/ml (Prefilled Syringe),Amgen Manufacturing Limited LLC; Theramex Ireland Limited
insulin glargine,B: confirm date(s),1,EMA(2026-01-09); HSA(no-date),2026-01-09,Ondibta; SEMGLEE™ SOLUTION FOR INJECTION IN A PREFILLED PEN 100U/ML,Biocon Sdn. Bhd.; Gan & Lee Pharmaceuticals Europe GmbH
